user	Algorithm	ndcg
159	ItemItem	0.21659763160288825
161	ItemItem	0.16939916390092263
162	ItemItem	0.2797988544724236
163	ItemItem	0.42822703972654036
164	ItemItem	0.0
165	ItemItem	0.0
166	ItemItem	0.0
167	ItemItem	0.38034334228454375
168	ItemItem	0.0
169	ItemItem	0.3570050110991857
171	ItemItem	0.22532646436810042
172	ItemItem	0.13403019745807462
173	ItemItem	0.0
174	ItemItem	0.20008507624316405
175	ItemItem	0.0
177	ItemItem	0.0
178	ItemItem	0.0
179	ItemItem	0.0
180	ItemItem	0.27309897893256824
181	ItemItem	0.46158279386353307
182	ItemItem	0.1313978474761782
183	ItemItem	0.0
184	ItemItem	0.0
185	ItemItem	0.0
186	ItemItem	0.2917621005560813
187	ItemItem	0.0
188	ItemItem	0.12520859146612084
190	ItemItem	0.0
191	ItemItem	0.17646036556911135
192	ItemItem	0.0
193	ItemItem	0.0
194	ItemItem	0.0
195	ItemItem	0.0
196	ItemItem	0.4980777924563504
197	ItemItem	0.0
198	ItemItem	0.0
199	ItemItem	0.0
201	ItemItem	0.17243846464868554
202	ItemItem	0.0
203	ItemItem	0.0
204	ItemItem	0.0
205	ItemItem	0.27643691328461795
206	ItemItem	0.0
207	ItemItem	0.0
208	ItemItem	0.17591175961829278
209	ItemItem	0.14101952497869316
210	ItemItem	0.15190491795597763
211	ItemItem	0.2861983545708615
212	ItemItem	0.5630388001253792
213	ItemItem	0.21222894683016452
214	ItemItem	0.1629098672258053
215	ItemItem	0.0
216	ItemItem	0.0
217	ItemItem	0.07174509160211172
218	ItemItem	0.0
219	ItemItem	0.3411872827337664
220	ItemItem	0.0
221	ItemItem	0.38112714652723956
222	ItemItem	0.2532633541065531
223	ItemItem	0.05164793147919691
224	ItemItem	0.32997349364299755
225	ItemItem	0.10781290796148764
226	ItemItem	0.0
227	ItemItem	0.5365106958682588
228	ItemItem	0.5049453690460975
229	ItemItem	0.0
230	ItemItem	0.43136758316563856
231	ItemItem	0.0
232	ItemItem	0.0
233	ItemItem	0.5088471964089613
234	ItemItem	0.20585247780642724
235	ItemItem	0.0
236	ItemItem	0.32705903765977956
237	ItemItem	0.0
239	ItemItem	0.0
240	ItemItem	0.0
241	ItemItem	0.0
242	ItemItem	0.1993143853586599
243	ItemItem	0.0
244	ItemItem	0.5047066868126959
245	ItemItem	0.0
246	ItemItem	0.19663776656161294
247	ItemItem	0.0
248	ItemItem	0.0
249	ItemItem	0.3307780424533429
250	ItemItem	0.14546632404665324
251	ItemItem	
253	ItemItem	0.0
254	ItemItem	0.0
256	ItemItem	0.24048965275341536
257	ItemItem	0.2193550902257157
258	ItemItem	0.0
259	ItemItem	0.0
260	ItemItem	0.2931728955480681
261	ItemItem	0.0
263	ItemItem	0.0
265	ItemItem	0.09164159579849934
267	ItemItem	0.062168994896684544
268	ItemItem	0.37919603734520246
269	ItemItem	0.4344726611668556
270	ItemItem	0.0
271	ItemItem	0.0
272	ItemItem	0.08489544785812397
273	ItemItem	0.0
274	ItemItem	0.04201822300778314
276	ItemItem	0.0
277	ItemItem	0.0
278	ItemItem	0.19480799739259386
279	ItemItem	0.0
280	ItemItem	0.1208050533869301
281	ItemItem	0.0
282	ItemItem	0.0
283	ItemItem	0.36569872568608786
284	ItemItem	0.40601804897095084
287	ItemItem	0.41749477773193844
288	ItemItem	0.0
292	ItemItem	0.1609238202879566
293	ItemItem	0.08305945538199415
294	ItemItem	0.0
295	ItemItem	0.0
296	ItemItem	0.0
297	ItemItem	0.0
298	ItemItem	0.5618285120005226
299	ItemItem	0.18268448603844034
300	ItemItem	0.34262252807127125
301	ItemItem	0.0
302	ItemItem	0.0
304	ItemItem	0.5392966151353842
305	ItemItem	0.0
306	ItemItem	0.0
307	ItemItem	0.20707057212277974
308	ItemItem	0.37739517311961557
309	ItemItem	0.128096176282575
310	ItemItem	0.12715399256967394
313	ItemItem	0.0
314	ItemItem	0.08854698641428686
315	ItemItem	0.449034323935075
316	ItemItem	0.0
317	ItemItem	0.1569571669650879
318	ItemItem	0.3235088600285305
319	ItemItem	0.17337680652759846
320	ItemItem	0.7085713087178306
322	ItemItem	0.12049003775973834
323	ItemItem	0.454151413822436
324	ItemItem	0.4487379435363679
325	ItemItem	0.3522184131531916
326	ItemItem	0.15513200242912176
327	ItemItem	0.0
328	ItemItem	0.00791932293846425
329	ItemItem	0.0
330	ItemItem	0.0
332	ItemItem	0.0
333	ItemItem	0.0
335	ItemItem	0.0
336	ItemItem	0.0
337	ItemItem	0.0
338	ItemItem	0.2902800264368253
339	ItemItem	0.0
340	ItemItem	0.06265696176281589
341	ItemItem	0.0
342	ItemItem	0.3113727524753855
343	ItemItem	0.42270684442744183
344	ItemItem	0.3982505781736938
345	ItemItem	0.0
346	ItemItem	0.05604409266552905
347	ItemItem	0.0
348	ItemItem	0.0
349	ItemItem	0.0
350	ItemItem	0.0
352	ItemItem	0.0
353	ItemItem	0.5102986895620745
354	ItemItem	0.0
355	ItemItem	0.0
356	ItemItem	0.0
357	ItemItem	0.1234791756862031
358	ItemItem	0.24564128009155317
359	ItemItem	0.0
360	ItemItem	0.0
362	ItemItem	0.0
363	ItemItem	0.0
365	ItemItem	0.0
366	ItemItem	0.0
367	ItemItem	0.13192179420371627
368	ItemItem	0.13619383855033013
369	ItemItem	0.13206786005845148
370	ItemItem	0.13342292869310904
371	ItemItem	0.0
372	ItemItem	0.2530718746834394
373	ItemItem	0.2582689756981493
374	ItemItem	0.0
375	ItemItem	0.0
376	ItemItem	0.3043757766588377
377	ItemItem	0.10607099606472066
378	ItemItem	0.003947961010926848
379	ItemItem	0.0
381	ItemItem	0.13476002170268667
384	ItemItem	0.0
385	ItemItem	0.2548441458571329
386	ItemItem	0.0
387	ItemItem	0.4506125047657569
388	ItemItem	0.3004760631754857
389	ItemItem	0.0
391	ItemItem	0.3783197996657963
392	ItemItem	0.28330962131731885
